"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","beta_true","sigma_true","freq"
"112",2,86,20,20,33.6345505308568,5.22879827390117,0.0746027930640832,0.0055686589227897,0.285544677196085,1,0.115629061063131,40.1728,6.92587375360686,0.0766709800086172,0.00852859781232318,0.151007825296932,16.3020548366729,0.136432369894035,10.230756008625,1289.73522222619,392.370891309784,1,1,50,0.4,0.12,135
"113",3,66,24,20,44.8206337203142,7.01321165606854,0.0811810497467948,0.00704482205442418,0.140045870517274,1,0.074286687374115,47.646,8.01024029476219,0.0912044969057728,0.00982558427552276,0.0953290066698453,15.2960592697753,0.201364600941026,9.50824695825577,1061.57290861732,418.362716031497,1,1,50,0.599999999999999,0.12,135
"114",4,97,31,25,46.3574539629914,5.68558746051743,0.104143402448956,0.0084529247414559,0.134428989322779,1,0.156393973032633,47.906,6.36475985935266,0.111065535745576,0.0111171509666277,0.108844729795884,6.53377365469481,0.324461402894168,11.6309591372808,940.665413678834,386.425960137566,1,1,50,0.8,0.12,135
"115",5,62,26,21,49.2865339838091,8.01407345463757,0.095763479492492,0.00997869872176904,0.0835029087131678,1,0.102864662806193,52.7768,9.75862049828826,0.107694793036985,0.0159079605197086,0.0610749627117189,10.4944593089384,0.22458681007289,9.86250832478205,680.824899680344,284.823952914439,0,1,50,1,0.12,135
"116",6,154,29,22,52.9526019623604,6.92305564748665,0.0567839467259577,0.00290145475521982,0.631044544082376,1,0.189776388804118,60.0216,8.9640880958498,0.0664894816038024,0.00584821035159238,0.202731005003648,47.5936246313169,0.0738591152185728,16.4386574824651,1090.08387937011,368.368617259119,0,1,50,0.2,0.12,270
"117",7,131,26,23,37.3272809510679,4.50208519362378,0.094340938273699,0.00613335050675543,0.230576393393236,1,0.192231555779775,41.9328,5.73869821674647,0.10178950048538,0.00920811478200712,0.122917479019679,21.829862253635,0.108707534139913,13.1397151589394,1222.51660093201,392.576356187846,1,1,50,0.4,0.12,270
"118",8,137,33,24,50.737570154373,5.8178055934057,0.0924912668701506,0.00593142187484061,0.183319705332121,1,0.211789766947428,56.8704,7.38345515351733,0.095126841977735,0.00788834631305969,0.119771012867926,40.5624970693137,0.102070664957074,16.0916386723518,1017.29660996817,446.242237863,0,1,50,0.599999999999999,0.12,270
"119",9,178,38,24,57.9810719118707,5.99232457962918,0.0875267205190814,0.00463150468165149,0.234995954363031,1,0.250748062133789,59.4808,6.38018134896009,0.100950526605582,0.00726740834058743,0.134371770007969,17.7941178419472,0.145560422087554,19.5845812479655,1207.01019075788,471.028621244716,0,1,50,0.8,0.12,270
"120",10,174,35,24,50.1789010909952,5.20475399089967,0.094058817280708,0.00542554947268173,0.234988247143185,1,0.304867776234945,51.4572,5.70624155088573,0.104470368218964,0.00796653211659681,0.153399433440397,24.7554970550114,0.143580783582017,17.5687260349592,1050.39790610014,356.827343456601,0,1,50,1,0.12,270
"121",1,75,25,22,35.9809728673288,5.01458164458483,0.127842603605646,0.0138157493425077,0.0811408188125912,1,0.0862291375796,38.4764,5.93143454876833,0.142760464932669,0.0185576319122275,0.056176008101146,42.4664583002213,0.0872371897165244,9.03956992228826,826.27075667283,367.803780200837,1,1,50,0.2,0.18,135
"122",2,53,23,19,49.4816581561278,9.01760223398532,0.0821569082843947,0.00935363471742469,0.0922537232174914,1,0.10417232910792,58.0556,14.2778027336268,0.106684357924888,0.0185485553688235,0.0428904925918373,7.54923621525829,0.146365767612357,10.0521893779437,475.770404006292,239.274864615433,0,1,50,0.4,0.18,135
"123",3,92,35,25,46.3336048571482,5.45711197018099,0.191286289587777,0.0244660066141483,0.037247187494525,1,0.119236993789673,46.678,5.61695077906347,0.239414038172818,0.0608084376109516,0.0267667985596259,18.497115914684,0.161704392605691,11.4425502498945,353.531494399049,51.022363074815,1,0,50,0.599999999999999,0.18,135
