,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
378,8,72,29,24,59.75661949,11.35161916,0.120886271,0.014921935,0.050487144,1,0.071798309,386.4577244,50.56131148,8.256450115,0.257676435,0.103400417,0.011097708,0.343993518,0.365708616,1,0.63271296,20,368.0369061,1,0,4096,0.6,0.18,0.005,0.5,50,0.011985074,1
379,9,77,26,25,42.28058501,7.676114388,0.144898921,0.019331077,0.053624178,1,0.073767745,407.1647128,36.11949409,5.318213936,0.219310176,0.050307105,0.024940238,1.318795893,0.386904525,1,0.625756148,20,380.1744747,0,0,4096,0.8,0.18,0.005,0.5,50,0.016545221,1
380,10,53,25,23,45.07052215,9.759899256,0.16279486,0.027657964,0.029482049,1,0.102985553,302.4517578,40.27277172,8.669602779,0.214261994,0.057826306,0.018649291,4.324732413,0.3071446,1,0.547071648,20,288.7669554,0,0,4096,1,0.18,0.005,0.5,50,0.017334042,1
381,1,161,24,24,50.29584879,7.896202576,0.078298113,0.004349483,0.249277611,1,0.229088215,605.5513053,42.46441266,7.942840042,0.104600967,0.020263439,0.134200642,0.319519348,0.541584825,1,1.060674286,20,520.4662691,0,1,4096,0.2,0.12,0.01,0.5,50,0.145461724,1
382,2,207,33,25,63.93247753,8.379701202,0.087309046,0.004621478,0.215177163,1,0.331499573,811.0190338,57.35992238,8.580009732,0.111865907,0.016590426,0.110175062,0.375936102,0.501625861,1,1.424516137,20,690.0279459,1,1,4096,0.4,0.12,0.01,0.5,50,0.127181703,1
383,3,173,28,23,45.90975684,6.302588496,0.106602768,0.00718942,0.176613161,1,0.244097976,703.0980687,43.12655197,6.230895761,0.129649869,0.018954445,0.094203927,0.33858688,0.508111868,1,1.202430042,20,602.3231092,0,1,4096,0.6,0.12,0.01,0.5,50,0.094683862,1
384,4,205,37,25,68.72109587,8.616712187,0.093447048,0.005429081,0.189343425,1,0.318921848,836.6961395,63.89791207,8.217185398,0.109167911,0.009931012,0.125004102,1.163457901,0.493043539,1,1.43566765,20,757.6704783,1,1,4096,0.8,0.12,0.01,0.5,50,0.133545768,1
385,5,134,26,25,49.08507268,7.515594546,0.094531444,0.007060135,0.167914631,1,0.148030909,564.371411,43.51487628,6.593226349,0.116719179,0.012530317,0.105540613,1.257841548,0.46328343,1,0.848917949,20,522.4216332,0,1,4096,1,0.12,0.01,0.5,50,0.116824971,1
386,6,256,40,25,65.70281169,7.46101008,0.112350375,0.006452346,0.138617063,1,0.335196126,1087.07652,59.85593233,7.563441681,0.135164942,0.020413823,0.090167116,0.245965575,0.643779308,1,1.907614179,20,975.2750498,1,1,4096,0.2,0.18,0.01,0.5,50,0.087114812,1
387,7,160,33,25,48.48202201,6.245263939,0.137112207,0.01235221,0.094266151,1,0.224196466,749.1805671,44.21969609,5.139725206,0.173683954,0.026998817,0.054408545,0.465541006,0.58582822,1,1.141135708,20,695.2287171,0,1,4096,0.4,0.18,0.01,0.5,50,0.052759508,1
388,8,255,35,25,52.03147526,6.273938356,0.130986241,0.010268207,0.108011039,1,0.37845132,1111.310568,42.26334438,4.019138317,0.196868472,0.03407024,0.054195072,0.472369171,0.502041241,1,1.66089648,20,1004.835214,0,1,4096,0.6,0.18,0.01,0.5,50,0.041064618,1
389,9,151,39,25,56.31541588,7.045819354,0.148445079,0.014270277,0.074548743,1,0.143385224,752.3879887,54.14057869,6.22632254,0.177236851,0.026068954,0.045620381,0.67478632,0.528737525,1,0.971564035,20,690.902309,1,1,4096,0.8,0.18,0.01,0.5,50,0.050665471,1
390,10,183,40,24,51.11152998,5.101140083,0.163833028,0.01370906,0.084064795,1,0.221820756,878.7604543,48.60493793,4.105338373,0.211336094,0.027297678,0.0428629,1.272523635,0.414851387,1,1.129500274,20,801.6997922,0,0,4096,1,0.18,0.01,0.5,50,0.035634673,1
391,1,224,28,24,78.03483476,12.28223473,0.045798717,0.001831567,0.647495173,1,0.237943737,628.9739746,50.18819026,8.936423069,0.1665007,0.051887279,0.028282812,0.345968118,0.175958736,1,2.116734536,20,487.9821206,1,1,4096,0.2,0.12,0.005,0.25,50,0.02870503,1
392,2,198,30,22,65.79258541,9.395069765,0.062341925,0.002968449,0.496091915,1,0.230193472,622.8480472,62.02924257,10.39251475,0.123129758,0.022364289,0.04752387,0.370134144,0.236642389,1,1.761273428,20,485.9555444,1,1,4096,0.4,0.12,0.005,0.25,50,0.052488491,1
393,3,143,24,19,69.70071403,12.24949195,0.048735101,0.002888811,0.39594088,1,0.16254892,471.6513002,51.01516743,10.90898648,0.123160672,0.03420123,0.044367944,0.599765913,0.224909529,1,1.169847846,20,369.6076606,1,1,4096,0.6,0.12,0.005,0.25,50,0.052462144,1
394,4,179,30,22,60.04822636,8.443556286,0.073641007,0.004348459,0.348252626,1,0.179400158,633.7004292,54.1837367,8.515777502,0.12814677,0.019317524,0.059064553,1.049498949,0.224863571,1,1.49901977,20,455.2382567,1,1,4096,0.8,0.12,0.005,0.25,50,0.04845904,1
395,5,77,19,17,29.71365491,5.475325525,0.109939299,0.011761499,0.170120253,1,0.101672236,345.4559691,33.78778741,6.602143761,0.148966605,0.025264171,0.038639575,1.090271503,0.199272252,1,0.588125896,20,262.5023268,1,0,4096,1,0.12,0.005,0.25,50,0.035860166,1
396,6,120,24,21,63.5859939,10.88679126,0.057395814,0.003510255,0.294498993,1,0.147769272,459.491516,50.69435943,10.07178974,0.121140482,0.030255188,0.047201896,0.244592105,0.339715152,1,0.925686904,20,403.6210073,1,1,4096,0.2,0.18,0.005,0.25,50,0.054226496,1
397,7,125,29,23,77.75405953,12.21188773,0.064247164,0.003997698,0.186044323,1,0.128979544,533.7061247,52.48947678,8.994564659,0.165369569,0.037863252,0.028208671,0.433256504,0.258783022,1,0.947556957,20,458.074293,1,1,4096,0.4,0.18,0.005,0.25,50,0.029099059,1
398,8,104,28,24,61.71420328,9.969119466,0.091054056,0.007533611,0.105245687,1,0.089411628,493.6301866,45.73190858,7.01041221,0.230294551,0.071612994,0.015847324,0.568501279,0.203997226,1,0.865292803,20,412.2736817,1,1,4096,0.6,0.18,0.005,0.25,50,0.015004544,1
399,9,96,33,23,77.81408562,13.0576485,0.100985877,0.010642198,0.063544932,1,0.124723641,497.1595633,60.98998291,10.82354421,0.1778372,0.035122159,0.022477442,0.96809451,0.278997532,1,0.751352203,20,448.7430737,1,1,4096,0.8,0.18,0.005,0.25,50,0.025161986,1
400,10,59,24,20,64.90222176,13.15523759,0.085443164,0.009868203,0.074707177,1,0.07468038,303.3722879,56.41862761,13.47678066,0.154892416,0.040809583,0.019932553,0.847678268,0.242648943,1,0.512086991,20,271.3828142,1,1,4096,1,0.18,0.005,0.25,50,0.033168805,1
401,1,403,29,22,68.94974698,10.09378984,0.046499014,0.001738215,1.542251582,1,0.270297742,715.5623605,44.81083967,7.393679082,0.117805816,0.027648563,0.108136267,0.277145325,0.251844997,1,2.841623286,20,489.3236533,1,1,4096,0.2,0.12,0.01,0.25,50,0.114679731,1
402,2,487,38,25,77.7411044,9.34420643,0.058326917,0.001811263,1.063672223,1,0.307842739,1059.484834,53.37691489,6.345783216,0.141745898,0.027167749,0.079902762,0.286745469,0.218627523,1,3.597008721,20,643.1786741,1,1,4096,0.4,0.12,0.01,0.25,50,0.079213488,1
403,3,399,33,24,74.5941129,9.979109807,0.051097448,0.001605763,1.207367205,1,0.293393644,871.3896205,53.2888568,7.682037116,0.108177407,0.017633088,0.128382798,0.491214789,0.276141782,1,2.727567303,20,594.2009617,1,1,4096,0.6,0.12,0.01,0.25,50,0.136002534,1
